Date,index,LQ,HF,JHL,GZ
2025年11月7日,0,111.4,156.752,114.38,103.33
2025年11月14日,1,112.35,157.2,115.52,103.82
2025年11月21日,2,108.49,150.07,107.94,103.18
2025年11月28日,3,110.4577,155.43,112.6,103.54
2025年12月5日,4,111.1108,154.99,113.2578,103.54
2025年12月12日,5,109.338,154.32,112.66,103.66
2025年12月19日,6,109.8,154.16,113.635,103.85
2025年12月26日,7,114.189,160.25,117.53,104.39
2025年12月31日,8,113.63,159.28,117.2748,104.05
2026年1月9日,9,120.44,167.035,123.63,104.31
2026年1月16日,10,120.25,167.3358,126.638,105.12
2026年1月23日,11,125.477,171.17,131.475,105.12
